RRi,RRii,RRi_interp,RRii_interp,freqs,periodogram,low_power,high_power,activitytype_daytime,activitytype,activitytype_interp,activitytype_daytime_interp,steps_daytime,steps,steps_interp,steps_daytime_interp,hr_daytime,hr,hr_interp,hr_daytime_interp,rMSSD,pNN50,Median,gt180,act_silent_percentage,act_walking_percentage,act_running_percentage,act_nonWear_percentage,act_REM_percentage,act_NREM_percentage,act_charging_percentage,act_undefined_percentage,act_silent_percentage_allday,act_walking_percentage_allday,act_running_percentage_allday,act_nonWear_percentage_allday,act_REM_percentage_allday,act_NREM_percentage_allday,act_charging_percentage_allday,act_undefined_percentage_allday
74,70,79,79,0.011421142,4680.985461,,,16.49472222,0,0,16.49472222,16.49472222,0,0,16.49472222,24.86500861,74,79,16.49472222,,,,,,,,,,,,,,,,,,,,
70,72,79,79,0.011470147,4689.971303,,,16.51138889,0,0,16.51138889,16.51138889,0,0,16.51138889,24.86730778,70,79,16.51138889,,,,,,,,,,,,,,,,,,,,
72,73,79,79,0.011519152,4699.005761,,,16.52805556,0,0,16.52805556,16.52805556,0,0,16.52805556,24.86732194,72,79,16.52805556,,,,,,,,,,,,,,,,,,,,
73,74,79,79,0.011568157,4708.088957,,,16.54472222,0,0,16.54472222,16.54472222,0,0,16.54472222,24.86733056,73,79,16.54472222,,,,,,,,,,,,,,,,,,,,
74,79,79,79,0.011617162,4717.221009,,,16.56138889,0,0,16.56138889,16.56138889,0,0,16.56138889,24.86734194,74,79,16.56138889,,,,,,,,,,,,,,,,,,,,
79,73,79,79,0.011666167,4726.402041,,,16.57805556,0,0,16.57805556,16.57805556,0,0,16.57805556,24.86735972,79,79,16.57805556,,,,,,,,,,,,,,,,,,,,
73,78,79,79,0.011715172,4735.632173,,,16.59472222,0,0,16.59472222,16.59472222,0,0,16.59472222,24.86737611,73,79,16.59472222,,,,,,,,,,,,,,,,,,,,
78,80,79,79,0.011764176,4744.911527,,,16.61138889,0,0,16.61138889,16.61138889,0,0,16.61138889,24.86739722,78,79,16.61138889,,,,,,,,,,,,,,,,,,,,
80,79,79,79,0.011813181,4754.240224,,,16.62805556,0,0,16.62805556,16.62805556,0,0,16.62805556,24.86741389,80,79,16.62805556,,,,,,,,,,,,,,,,,,,,
79,74,79,79,0.011862186,4763.618388,,,16.64472222,0,0,16.64472222,16.64472222,0,0,16.64472222,24.87326194,79,79,16.64472222,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.011911191,4773.046141,,,16.66138889,0,0,16.66138889,16.66138889,0,0,16.66138889,24.87732556,74,79,16.66138889,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.011960196,4782.523604,,,16.67805556,0,0,16.67805556,16.67805556,0,0,16.67805556,24.88193306,74,79,16.67805556,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.012009201,4792.050902,,,16.69472222,0,0,16.69472222,16.69472222,0,0,16.69472222,24.88463889,74,79,16.69472222,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.012058206,4801.628158,,,16.71138889,0,0,16.71138889,16.71138889,0,0,16.71138889,24.8846825,74,79,16.71138889,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.012107211,4811.255494,,,16.72805556,0,0,16.72805556,16.72805556,0,0,16.72805556,24.88469583,74,79,16.72805556,,,,,,,,,,,,,,,,,,,,
